time_s;ndir_ppm;qcl_ppm
7300.0;23.9;25.0
7305.0;24.3;25.0
7310.0;24.3;24.9
7315.0;24.2;24.9
7320.0;24.5;24.9
7325.0;24.5;24.9
7330.0;23.9;24.9
7335.0;24.4;24.8
7340.0;24.0;24.9
7345.0;24.2;24.9
7350.0;24.1;24.8
7355.0;24.3;24.9
7360.0;24.6;24.9
7365.0;24.8;25.1
7370.0;24.5;25.2
7375.0;24.4;24.9
7380.0;24.2;24.9
7385.0;24.0;24.9
7390.0;24.3;24.9
7395.0;24.4;24.9
7400.0;24.5;24.9
7405.0;25.2;24.9
7410.0;24.5;24.9
7415.0;24.0;24.9
7420.0;24.1;24.9
7425.0;24.2;24.9
7430.0;24.0;24.9
7435.0;24.0;24.9
7440.0;24.6;24.8
7445.0;24.1;24.9
7450.0;23.7;25.1
7455.0;24.1;25.0
7460.0;24.2;25.0
7465.0;23.7;25.0
7470.0;23.9;25.0
7475.0;23.6;25.0
7480.0;23.7;25.0
7485.0;23.9;25.0
7490.0;24.1;25.0
7495.0;24.6;25.0
7500.0;24.5;25.1
7505.0;24.1;25.0
7510.0;24.5;25.1
7515.0;24.6;25.1
7520.0;24.3;25.0
7525.0;24.4;25.0
7530.0;23.9;25.0
7535.0;23.7;25.1
7540.0;23.6;25.1
7545.0;24.4;25.1
7550.0;24.7;25.1
7555.0;24.5;25.1
7560.0;24.6;25.1
7565.0;24.0;25.0
7570.0;24.0;25.0
7575.0;23.7;25.0
7580.0;24.4;25.1
7585.0;24.0;25.1
7590.0;23.7;25.1
7595.0;24.3;25.1
7600.0;24.6;25.0
7605.0;24.8;25.0
7610.0;24.5;25.1
7615.0;24.6;25.1
7620.0;24.5;25.2
7625.0;24.0;25.1
7630.0;24.5;25.1
7635.0;24.2;25.1
7640.0;24.5;25.1
7645.0;24.7;25.1
7650.0;24.5;25.1
7655.0;24.5;25.1
7660.0;25.1;25.1
7665.0;24.8;25.1
7670.0;24.6;25.2
7675.0;24.5;25.1
7680.0;24.3;25.0
7685.0;24.3;25.2
7690.0;24.4;25.1
7695.0;24.5;25.1
7700.0;24.8;25.1
7705.0;24.8;25.1
7710.0;25.2;25.0
7715.0;24.6;25.2
7720.0;24.0;25.0
7725.0;24.0;25.0
7730.0;24.0;25.1
7735.0;23.9;25.0
7740.0;24.0;25.1
7745.0;24.3;25.0
7750.0;24.5;25.0
7755.0;24.2;25.0
7760.0;24.5;25.0
7765.0;24.8;25.0
7770.0;24.5;25.0
7775.0;24.8;25.0
7780.0;24.8;25.1
7785.0;24.5;25.0
7790.0;24.5;25.0
7795.0;24.6;25.0
7800.0;24.5;25.0
7805.0;24.2;24.9
7810.0;24.5;25.0
7815.0;24.0;25.0
7820.0;23.9;25.0
7825.0;24.5;25.0
7830.0;25.0;25.0
7835.0;25.1;25.0
7840.0;24.5;25.1
7845.0;24.6;25.1
7850.0;24.5;25.1
7855.0;24.4;25.2
7860.0;24.5;25.1
7865.0;24.1;25.2
7870.0;24.4;25.2
7875.0;23.9;25.1
7880.0;24.5;25.2
7885.0;24.5;25.1
7890.0;24.2;25.1
7895.0;24.5;25.2
7900.0;23.8;25.1
7905.0;23.7;25.1
7910.0;24.0;25.1
7915.0;24.0;25.1
7920.0;24.7;25.1
7925.0;24.8;25.1
7930.0;24.6;25.2
7935.0;24.8;25.1
7940.0;24.5;25.1
7945.0;24.6;25.1
7950.0;24.7;25.1
7955.0;24.4;25.2
7960.0;24.5;25.1
7965.0;24.8;25.1
7970.0;24.4;25.2
7975.0;24.5;25.1
7980.0;24.6;25.2
7985.0;24.1;25.2
7990.0;24.3;25.2
7995.0;24.2;25.1
8000.0;24.2;25.2
8005.0;24.5;25.1
8010.0;24.3;25.1
8015.0;27.5;25.2
8020.0;25.5;25.1
8025.0;25.0;25.1
8030.0;24.4;25.1
8035.0;24.2;25.1
8040.0;23.9;25.1
8045.0;24.0;25.2
8050.0;24.3;25.2
8055.0;24.2;25.1
8060.0;24.0;25.1
8065.0;24.2;25.2
8070.0;24.0;25.1
8075.0;23.7;25.1
8080.0;23.5;25.2
8085.0;24.1;25.2
8090.0;24.8;25.2
8095.0;25.0;25.1
8100.0;24.8;25.1
8105.0;24.7;25.1
8110.0;24.5;25.1
8115.0;24.4;25.1
8120.0;24.7;25.2
8125.0;24.4;25.1
8130.0;24.6;25.1
8135.0;24.3;25.1
8140.0;24.8;25.1
8145.0;25.0;25.2
8150.0;24.6;25.1
8155.0;24.6;25.2
8160.0;24.8;25.1
8165.0;25.2;25.1
8170.0;24.8;25.2
8175.0;24.6;25.0
8180.0;24.8;25.1
8185.0;24.8;25.1
8190.0;25.0;25.1
8195.0;24.5;25.2
8200.0;24.6;25.1
8205.0;24.8;25.1
8210.0;24.6;25.2
8215.0;24.3;25.1
8220.0;24.8;25.2
8225.0;24.5;25.1
8230.0;24.6;25.1
8235.0;24.5;25.1
8240.0;24.5;25.2
8245.0;26.0;25.1
8250.0;24.7;25.1
8255.0;24.5;25.1
8260.0;24.8;25.1
8265.0;24.5;25.1
8270.0;24.9;25.1
8275.0;24.3;25.2
8280.0;24.3;25.2
8285.0;24.5;25.2
8290.0;21.8;25.0
8295.0;23.9;25.1
8300.0;24.2;25.1
8305.0;24.5;25.1
8310.0;24.5;25.1
8315.0;25.1;25.1
8320.0;24.8;25.1
8325.0;24.2;25.2
8330.0;24.4;25.1
